□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20200701 ~ 20200731,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 전라북도,,,,,,,,,,,
시군구 : 전체,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
전라북도 군산시 나운동,161,161,0,청솔,49.65,202007,30,"4,000",2,2002,나운로 133
전라북도 군산시 나운동,788-1,788,1,하이스타운4차,59.7384,202007,2,"7,500",6,2013,신설2길 9
전라북도 군산시 나운동,155-1,155,1,한울,59.95,202007,2,"6,500",12,1996,하나운로 20
전라북도 군산시 나운동,155-1,155,1,한울,59.95,202007,10,"7,700",6,1996,하나운로 20
전라북도 군산시 나운동,155-1,155,1,한울,59.73,202007,13,"8,000",6,1996,하나운로 20
전라북도 군산시 나운동,155-1,155,1,한울,59.73,202007,15,"8,200",14,1996,하나운로 20
전라북도 군산시 나운동,155-1,155,1,한울,59.73,202007,23,"7,000",5,1996,하나운로 20
전라북도 군산시 나운동,155-1,155,1,한울,59.73,202007,28,"7,600",6,1996,하나운로 20
전라북도 군산시 나운동,155-1,155,1,한울,59.95,202007,31,"6,800",5,1996,하나운로 20
전라북도 군산시 나운동,1255-8,1255,8,현대1차,72.15,202007,18,"7,900",9,1990,현충로 33
전라북도 군산시 나운동,792-1,792,1,현대2,59.72,202007,8,"3,400",3,1987,신설4길 14
전라북도 군산시 나운동,527,527,0,현대2차,59.4,202007,3,"6,000",2,1993,나운로 39
전라북도 군산시 나운동,527,527,0,현대2차,59.4,202007,15,"7,600",14,1993,나운로 39
전라북도 군산시 나운동,527,527,0,현대2차,84.735,202007,21,"9,800",10,1993,나운로 39
전라북도 군산시 나운동,501,501,0,현대3차,84.96,202007,7,"12,000",11,1995,나운안2길 8
전라북도 군산시 나운동,109-6,109,6,현대4차,59.99,202007,5,"10,300",5,1998,나운안1길 24
전라북도 군산시 나운동,109-6,109,6,현대4차,99.935,202007,6,"16,700",17,1998,나운안1길 24
전라북도 군산시 나운동,109-6,109,6,현대4차,84.96,202007,8,"14,450",13,1998,나운안1길 24
전라북도 군산시 나운동,109-6,109,6,현대4차,84.96,202007,15,"12,800",20,1998,나운안1길 24
전라북도 군산시 나운동,109-6,109,6,현대4차,59.99,202007,18,"10,000",15,1998,나운안1길 24
전라북도 군산시 나운동,109-6,109,6,현대4차,59.99,202007,19,"10,700",6,1998,나운안1길 24
전라북도 군산시 나운동,1155-9,1155,9,현대백조,84.6,202007,2,"8,500",8,1992,상나운1길 30
전라북도 군산시 나운동,1155-9,1155,9,현대백조,84.6,202007,11,"8,750",4,1992,상나운1길 30
전라북도 군산시 대명동,385-60,385,60,현대메트로타워,84.9348,202007,4,"16,000",23,2011,대명길 3
전라북도 군산시 대명동,385-60,385,60,현대메트로타워,76.2648,202007,4,"13,500",3,2011,대명길 3
전라북도 군산시 대명동,385-60,385,60,현대메트로타워,76.2648,202007,16,"13,900",22,2011,대명길 3
전라북도 군산시 대명동,403,403,0,현대메트로타워2차,84.9648,202007,4,"19,700",25,2016,구암3.1로 30
전라북도 군산시 대명동,403,403,0,현대메트로타워2차,84.98,202007,9,"20,500",31,2016,구암3.1로 30
전라북도 군산시 대명동,403,403,0,현대메트로타워2차,84.98,202007,22,"19,900",30,2016,구암3.1로 30
전라북도 군산시 대명동,403,403,0,현대메트로타워2차,84.98,202007,24,"19,700",25,2016,구암3.1로 30
전라북도 군산시 대야면 지경리,01월 09일,1,9,명성파크맨션(나동),75.69,202007,29,"3,200",4,1990,석화로 21-9
전라북도 군산시 대야면 지경리,699-147,699,147,한신타운,59.73,202007,24,"5,000",3,1992,대야관통로 26
전라북도 군산시 동흥남동,100,100,0,동흥남주공,84.86,202007,6,"10,000",1,2006,동흥남길 9
전라북도 군산시 문화동,904,904,0,다우미빌,84.964,202007,12,"10,400",13,2002,서흥길 24
전라북도 군산시 문화동,904,904,0,다우미빌,84.964,202007,25,"9,500",1,2002,서흥길 24
전라북도 군산시 문화동,26,26,0,삼성,65.16,202007,8,"7,000",12,1992,백토로 93
전라북도 군산시 문화동,26,26,0,삼성,84.87,202007,9,"9,000",5,1992,백토로 93
전라북도 군산시 문화동,26,26,0,삼성,76.02,202007,18,"7,300",1,1992,백토로 93
전라북도 군산시 문화동,26,26,0,삼성,84.87,202007,24,"11,400",10,1992,백토로 93
전라북도 군산시 문화동,26,26,0,삼성,84.87,202007,31,"9,200",15,1992,백토로 93
전라북도 군산시 미룡동,71,71,0,금광베네스타,84.95,202007,3,"18,000",20,2008,용둔길 12
전라북도 군산시 미룡동,71,71,0,금광베네스타,172.15,202007,4,"30,000",19,2008,용둔길 12
전라북도 군산시 미룡동,71,71,0,금광베네스타,130.82,202007,13,"24,300",12,2008,용둔길 12
전라북도 군산시 미룡동,71,71,0,금광베네스타,113.52,202007,18,"21,700",8,2008,용둔길 12
전라북도 군산시 미룡동,71,71,0,금광베네스타,84.67,202007,19,"19,800",7,2008,용둔길 12
전라북도 군산시 미룡동,71,71,0,금광베네스타,139.76,202007,25,"25,800",16,2008,용둔길 12
전라북도 군산시 미룡동,71,71,0,금광베네스타,130.82,202007,27,"24,000",4,2008,용둔길 12
전라북도 군산시 미룡동,857,857,0,대명2차(202동),49.14,202007,1,"4,900",16,2002,칠성3길 8
전라북도 군산시 미룡동,857,857,0,대명2차(202동),49.14,202007,2,"5,000",16,2002,칠성3길 8
전라북도 군산시 미룡동,854,854,0,대명3차(203동),38.79,202007,10,"3,000",5,2002,칠성3길 22
전라북도 군산시 미룡동,854,854,0,대명3차(203동),38.79,202007,23,"3,500",11,2002,칠성3길 22
전라북도 군산시 미룡동,59-59,59,59,은파리젠시빌파크,132.4163,202007,20,"22,500",10,2007,미룡로 64
전라북도 군산시 미룡동,896-1,896,1,주공2차,50.28,202007,8,"7,000",14,2001,미룡로 41
전라북도 군산시 미룡동,896-1,896,1,주공2차,84.34,202007,14,"14,300",16,2001,미룡로 41
전라북도 군산시 미룡동,896-1,896,1,주공2차,59.39,202007,21,"8,600",5,2001,미룡로 41
전라북도 군산시 미룡동,896-1,896,1,주공2차,50.28,202007,23,"6,300",14,2001,미룡로 41
전라북도 군산시 미룡동,896-1,896,1,주공2차,50.28,202007,30,"6,800",4,2001,미룡로 41
전라북도 군산시 미룡동,896-1,896,1,주공2차,59.39,202007,31,"8,250",2,2001,미룡로 41
전라북도 군산시 미룡동,900-1,900,1,주공3차,59.42,202007,2,"8,400",4,2001,미룡로 42
전라북도 군산시 미룡동,900-1,900,1,주공3차,49.86,202007,6,"7,200",9,2001,미룡로 42
